Date,Ticker,Action
2013-06-06,GM,added_ticker
2013-06-06,HNZ,removed_ticker
2013-05-24,KSU,added_ticker
2013-05-23,DF,removed_ticker
2013-05-09,MAC,added_ticker
2013-05-08,CVH,removed_ticker
2013-05-01,REGN,added_ticker
2013-04-30,PCS,removed_ticker
2013-02-15,BIG,removed_ticker
2013-02-15,PVH,added_ticker
2012-12-31,ABBV,added_ticker
2012-12-31,FII,removed_ticker
2012-12-24,APTV,added_ticker
2012-12-21,DLPH,added_ticker
2012-12-21,TIE,removed_ticker
2012-12-12,GRMN,added_ticker
2012-12-11,RRD,removed_ticker
2012-12-03,CBE,removed_ticker
2012-12-03,DG,added_ticker
2012-10-10,SUN,removed_ticker
2012-10-10,PETM,added_ticker
2012-10-02,KRFT,added_ticker
2012-10-02,ANR,removed_ticker
2012-10-02,MDLZ,added_ticker
2012-10-01,PNR,added_ticker
2012-10-01,DV,removed_ticker
2012-10-01,ADT,added_ticker
2012-10-01,LXK,removed_ticker
2012-09-05,LYB,added_ticker
2012-09-05,SHLD,removed_ticker
2012-07-31,ESV,added_ticker
2012-07-31,GR,removed_ticker
2012-07-02,PGN,removed_ticker
2012-07-02,STX,added_ticker
2012-06-29,SLE,removed_ticker
2012-06-29,MNST,added_ticker
2012-06-29,LRCX,added_ticker
2012-06-05,NVLS,removed_ticker
2012-05-25,ALXN,added_ticker
2012-05-25,KMI,added_ticker
2012-05-21,MMI,removed_ticker
2012-05-17,EP,removed_ticker
2012-05-01,PSX,added_ticker
2012-04-23,SVU,removed_ticker
2012-04-03,FOSL,added_ticker
2012-04-03,MHS,removed_ticker
2012-03-14,CCI,added_ticker
2012-03-13,CEG,removed_ticker
2011-12-31,WPX,added_ticker
2011-12-31,CPWR,removed_ticker
2011-12-21,TRIP,added_ticker
2011-12-20,TLAB,removed_ticker
2011-12-19,PRGO,added_ticker
2011-12-19,BWA,added_ticker
2011-12-19,DLTR,added_ticker
2011-12-16,WFR,removed_ticker
2011-12-16,MWW,removed_ticker
2011-12-16,AKS,removed_ticker
2011-12-12,GAS,added_ticker
2011-11-18,JNS,removed_ticker
2011-11-18,CBE,added_ticker
2011-11-01,XYL,added_ticker
2011-10-31,ITT,removed_ticker
2011-10-17,TEL,added_ticker
2011-10-14,CEPH,removed_ticker
2011-09-26,MOS,added_ticker
2011-09-23,NSM,removed_ticker
2011-07-06,ACN,added_ticker
2011-07-05,MI,removed_ticker
2011-07-01,MPC,added_ticker
2011-06-30,RSH,removed_ticker
2011-06-01,ANR,added_ticker
2011-06-01,MEE,removed_ticker
2011-04-28,CMG,added_ticker
2011-04-27,NOVL,removed_ticker
2011-04-04,BLK,added_ticker
2011-04-01,EW,added_ticker
2011-04-01,GENZ,removed_ticker
2011-03-31,Q,removed_ticker
2011-02-28,COV,added_ticker
2011-02-28,MFE,removed_ticker
2011-02-25,JOY,added_ticker
2011-02-25,AYE,removed_ticker
2010-12-20,NFLX,added_ticker
2010-12-20,FFIV,added_ticker
2010-12-17,ODP,removed_ticker
2010-12-17,NYT,removed_ticker
2010-12-17,NFX,added_ticker
2010-12-17,EK,removed_ticker
2010-12-17,CVC,added_ticker
2010-12-17,KG,removed_ticker
2010-11-17,IR,added_ticker
2010-11-17,PTV,removed_ticker
2010-08-27,JCI,added_ticker
2010-08-26,SII,removed_ticker
2010-08-26,TYC,added_ticker
2010-07-15,CB,added_ticker
2010-07-14,MIL,removed_ticker
2010-06-30,QEP,added_ticker
2010-06-30,STR,removed_ticker
2010-06-28,KMX,added_ticker
2010-06-28,XTO,removed_ticker
2010-04-30,CERN,added_ticker
2010-04-29,BJS,removed_ticker
2010-03-15,OKE,added_ticker
2010-03-01,HP,added_ticker
2010-03-01,DISCA,added_ticker
2010-02-26,RX,removed_ticker
2010-02-16,BRK.B,added_ticker
2010-01-29,NRG,added_ticker
2009-12-23,ROP,added_ticker
2009-12-21,ROST,added_ticker
2009-12-21,V,added_ticker
2009-12-18,MJN,added_ticker
2009-12-18,CLF,added_ticker
2009-12-18,SAIC,added_ticker
2009-12-18,CIEN,removed_ticker
2009-12-18,DYN,removed_ticker
2009-12-18,KBH,removed_ticker
2009-12-18,CVG,removed_ticker
2009-11-06,BKNG,added_ticker
2009-11-03,PCLN,added_ticker
2009-11-03,SGP,removed_ticker
2009-09-28,ARG,added_ticker
2009-09-15,FAST,added_ticker
2009-08-19,FMC,added_ticker
2009-07-01,WDC,added_ticker
2009-07-01,PWR,added_ticker
2009-06-05,FTI,added_ticker
2009-03-27,ORLY,added_ticker
2009-03-04,HRL,added_ticker
2009-03-04,VTR,added_ticker
2009-03-03,JNY,removed_ticker
2009-03-03,ACAS,removed_ticker
2009-01-30,WELL,added_ticker
2009-01-06,IRM,added_ticker
2009-01-02,FLIR,added_ticker
2008-12-31,OI,added_ticker
2008-12-31,WB,removed_ticker
2008-12-05,RSG,added_ticker
2008-11-14,WYNN,added_ticker
2008-11-14,XRAY,added_ticker
2008-11-13,PBCT,added_ticker
2008-11-06,SJM,added_ticker
2008-10-31,WEC,added_ticker
2008-10-22,NDAQ,added_ticker
2008-10-02,FLS,added_ticker
2008-09-30,APH,added_ticker
2008-09-24,PXD,added_ticker
2008-09-16,HRS,added_ticker
2008-09-16,LEH,removed_ticker
2008-09-15,CRM,added_ticker
2008-09-12,FRE,removed_ticker
2008-09-12,FNM,removed_ticker
2008-08-27,CF,added_ticker
2008-08-21,IVZ,added_ticker
2008-07-31,DVA,added_ticker
2008-07-18,MA,added_ticker
2008-06-23,COG,added_ticker
2008-06-10,ABK,removed_ticker
2008-06-10,LO,added_ticker
2008-06-02,ISRG,added_ticker
2008-03-31,PM,added_ticker
2008-03-31,HCP,added_ticker
2008-01-02,TSS,added_ticker
2007-12-20,TRB,removed_ticker
2007-12-20,RRC,added_ticker
2007-12-13,GME,added_ticker
2007-12-13,DJ,removed_ticker
2007-11-19,AMT,added_ticker
2007-10-26,JEC,added_ticker
2007-10-26,AV,removed_ticker
2007-10-10,EXPD,added_ticker
2007-10-08,NBL,added_ticker
2007-10-02,EXPE,added_ticker
2007-10-02,SLR,removed_ticker
2007-10-01,TDC,added_ticker
2007-10-01,NCR,removed_ticker
2007-09-27,TSO,added_ticker
2007-09-27,MXIM,removed_ticker
2007-09-26,ICE,added_ticker
2007-09-26,FDC,removed_ticker
2007-09-07,MCHP,added_ticker
2007-08-27,JEF,added_ticker
2007-08-24,KSE,removed_ticker
2007-08-24,LUK,added_ticker
2007-07-12,AKAM,added_ticker
2007-07-02,DFS,added_ticker
2007-04-10,AIZ,added_ticker
2007-03-30,KFT,added_ticker
2007-03-30,TSG,removed_ticker
2007-03-20,HST,added_ticker
2007-03-02,CHRW,added_ticker
2007-02-12,VAR,added_ticker
2007-02-02,RL,added_ticker
2007-01-10,AVB,added_ticker
2007-01-10,SBL,removed_ticker
2006-11-17,CTSH,added_ticker
2006-11-10,FIS,added_ticker
2006-11-10,CBRE,added_ticker
2006-11-06,CELG,added_ticker
2006-08-11,CME,added_ticker
2006-06-02,JNPR,added_ticker
2006-06-02,ABS,removed_ticker
2006-04-04,KIM,added_ticker
2006-04-03,BXP,added_ticker
2006-04-03,GOOG,added_ticker
2006-02-01,VRSN,added_ticker
2006-01-05,EL,added_ticker
2005-11-18,AMZN,added_ticker
2005-10-04,LEN,added_ticker
2005-10-03,AMP,added_ticker
2005-08-19,PSA,added_ticker
2005-07-01,GLK,removed_ticker
2005-07-01,STZ,added_ticker
2005-03-14,NOV,added_ticker
2004-11-01,LH,added_ticker
2004-07-01,GILD,added_ticker
2004-04-23,MYL,added_ticker
2004-03-31,ETFC,added_ticker
2003-11-13,BIIB,added_ticker
2003-09-25,QTRN,removed_ticker
2003-09-25,ESRX,added_ticker
2003-07-17,PLD,added_ticker
2003-03-25,SYMC,added_ticker
2003-03-14,AIV,added_ticker
2002-12-12,DGX,added_ticker
2002-08-21,TRV,added_ticker
2002-07-25,ANTM,added_ticker
2002-07-22,UPS,added_ticker
2002-07-22,EA,added_ticker
2002-07-22,PFG,added_ticker
2002-07-22,GS,added_ticker
2002-07-22,PRU,added_ticker
2002-06-26,SPG,added_ticker
2001-12-03,EQR,added_ticker
2001-11-30,NVDA,added_ticker
2001-08-30,ABC,added_ticker
2001-08-07,ZBH,added_ticker
2001-06-22,ZION,added_ticker
2001-04-02,FISV,added_ticker
2001-03-01,CTAS,added_ticker
2000-12-12,SYK,added_ticker
2000-12-05,AYE,added_ticker
2000-12-05,GRA,removed_ticker
2000-12-05,CCK,removed_ticker
2000-12-05,SBL,added_ticker
2000-12-05,RHI,added_ticker
2000-12-05,BS,removed_ticker
2000-12-05,ABK,added_ticker
2000-12-05,INTU,added_ticker
2000-11-02,EOG,added_ticker
2000-08-30,DVN,added_ticker
2000-07-27,JDSU,added_ticker
2000-07-27,RAD,removed_ticker
2000-06-21,TIF,added_ticker
2000-06-05,A,added_ticker
1999-12-07,YHOO,added_ticker
1999-12-07,LDW,removed_ticker
1999-12-01,CTXS,added_ticker
1999-11-08,XLNX,added_ticker
1999-10-12,ADI,added_ticker
1999-06-30,VMC,added_ticker
1999-06-29,BBY,added_ticker
1999-06-25,NTAP,added_ticker
1999-05-28,AFL,added_ticker
1999-05-03,CMS,added_ticker
1999-04-12,AGN,added_ticker
1999-03-25,CTL,added_ticker
1998-12-22,CCL,added_ticker
1998-10-02,AES,added_ticker
1998-08-28,RF,added_ticker
1998-07-01,COF,added_ticker
1997-12-18,CINF,added_ticker
1997-12-04,BBT,added_ticker
1997-10-06,YUM,added_ticker
1997-08-04,PGR,added_ticker
1997-07-28,APA,added_ticker
1997-06-19,EFX,added_ticker
1997-06-02,SCHW,added_ticker
1997-05-27,CAH,added_ticker
1997-05-05,ADBE,added_ticker
1997-01-02,AZO,added_ticker
1996-04-23,AON,added_ticker
1995-12-01,CMA,added_ticker
1995-07-13,ALL,added_ticker
1995-03-31,BK,added_ticker
1995-03-16,AMAT,added_ticker
1995-02-24,BSX,added_ticker
1994-09-27,MU,added_ticker
1994-09-01,CBS,added_ticker
1994-07-01,UNH,added_ticker
1994-07-01,LUV,added_ticker
